frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
298,0.049,0.000,0.098,1.810,0.049,0,0.000,,0,0.000,FREE
299,0.035,0.000,0.071,0.718,0.302,0,0.000,,0,1.000,OBSTACLE
300,0.044,0.000,0.088,0.955,0.204,0,0.000,,0,1.000,OBSTACLE
301,0.006,0.000,0.012,2.238,0.024,0,0.000,,0,0.000,FREE
302,0.010,0.000,0.020,2.292,0.022,0,0.000,,0,0.000,FREE
303,0.046,0.000,0.092,0.863,0.237,0,0.000,,0,1.000,OBSTACLE
304,0.000,0.000,0.000,1.650,0.064,0,0.000,,0,0.990,OBSTACLE
305,0.008,0.000,0.015,1.871,0.044,0,0.000,,0,0.000,FREE
306,0.014,0.000,0.027,1.611,0.068,1,0.643,1.339,0,1.000,OBSTACLE
307,0.030,0.000,0.059,1.701,0.059,1,0.774,1.695,0,1.000,OBSTACLE
308,0.044,0.000,0.089,1.472,0.086,1,0.732,1.744,0,1.000,OBSTACLE
309,0.057,0.000,0.114,1.484,0.084,1,0.879,1.197,0,1.000,OBSTACLE
310,0.078,0.000,0.156,0.776,0.274,1,0.360,0.762,0,1.000,OBSTACLE
